Contact Id,Gift Date
476,12/16/2011
346,11/4/2012
2836,1/9/2017
3003,7/27/2017
477,1/17/2011
513,1/12/2012
1665,11/1/2013
392,6/27/2016
56,5/30/2017
469,3/25/2010
1787,1/21/2015
440,5/8/2015
450,1/6/2010
445,1/5/2010
2977,2/26/2014
2984,3/21/2019
600,3/17/2017
502,12/27/2011
2703,12/24/2019
2864,9/27/2019
2988,2/12/2018
440,1/19/2011
2851,2/24/2014
1899,8/20/2015
569,4/29/2019
570,2/28/2019
2360,7/19/2013
3024,4/25/2018
2390,9/25/2015
868,5/30/2012
443,1/5/2010
2857,8/3/2012
2657,12/20/2019
2397,12/22/2016
408,11/13/2017
495,12/29/2016
2971,9/16/2013
2538,11/26/2018
491,7/8/2015
2988,3/27/2017
2822,4/22/2019
2857,7/25/2012
2845,2/29/2012
1352,11/17/2019
1544,2/21/2022
529,11/4/2012
49,9/6/2016
523,4/12/2013
2812,11/21/2014
423,1/2/2014
2810,6/3/2015
2815,1/13/2015
315,12/24/2012
429,10/18/2016
429,6/23/2017
2783,4/3/2019
600,5/12/2011
3047,4/5/2021
342,3/21/2012
601,9/6/2014
2848,3/10/2014
419,11/10/2012
741,3/6/2018
429,10/20/2012
605,11/27/2012
339,11/3/2011
857,6/3/2013
414,12/29/2011
409,12/14/2017
315,12/29/2017
3047,4/8/2022
1466,6/30/2011
478,12/29/2011
2841,7/14/2011
600,2/21/2018
3047,8/23/2021
2997,12/29/2016
3016,11/28/2018
2821,3/5/2013
441,1/4/2010
1337,12/3/2013
453,12/28/2015
605,12/20/2013
1894,11/17/2019
419,1/20/2012
600,5/24/2012
2995,5/4/2016
472,8/16/2017
449,1/6/2010
943,10/29/2013
468,1/14/2016
935,1/22/2016
1776,5/2/2014
44,8/10/2016
2812,1/10/2014
725,5/25/2016
924,11/16/2012
569,3/28/2019
2989,4/7/2015
2843,7/6/2015
339,12/16/2016
2405,12/30/2010
2988,12/18/2015
3047,11/29/2021
2898,12/18/2019
2804,4/7/2015
300,5/4/2016
474,12/29/2016
935,12/20/2018
333,1/30/2017
2837,7/1/2011
301,8/29/2011
472,4/6/2010
1513,1/7/2015
426,2/6/2015
935,1/22/2019
1544,9/6/2021
2814,6/27/2016
2799,8/5/2010
580,12/14/2018
322,2/14/2011
843,3/17/2010
2804,4/7/2015
529,12/31/2010
454,1/20/2010
445,12/31/2014
935,4/27/2017
2378,7/15/2013
2974,5/12/2014
470,4/5/2010
478,6/8/2010
428,7/7/2017
428,12/31/2014
3016,11/30/2017
935,3/17/2016
445,12/27/2017
584,1/14/2019
551,5/31/2018
432,10/30/2012
2812,3/13/2015
440,12/31/2014
2978,3/10/2014
426,9/10/2014
872,3/4/2014
514,7/5/2016
287,5/23/2011
273,8/20/2018
843,12/31/2014
304,5/23/2019
1544,1/21/2022
2843,6/12/2012
429,6/23/2013
7,12/14/2017
887,1/7/2015
585,3/21/2019
2851,3/27/2017
916,9/4/2012
56,4/27/2017
840,8/30/2019
895,5/15/2012
2847,3/21/2012
828,12/27/2011
1334,12/3/2018
930,11/24/2012
931,5/9/2013
889,12/3/2018
529,2/19/2014
1323,11/25/2012
511,1/1/2020
1606,1/27/2016
1787,12/2/2016
468,12/22/2019
2844,10/12/2011
2389,9/25/2015
453,1/19/2010
935,5/24/2018
1536,2/21/2014
827,2/24/2010
2632,12/1/2019
2389,7/31/2014
650,8/31/2015
506,7/24/2012
935,10/4/2016
841,3/26/2010
3047,7/14/2021
2815,1/20/2012
936,1/3/2013
1964,5/7/2015
5,5/13/2015
12,9/13/2016
535,2/24/2014
2812,3/10/2015
935,7/20/2017
491,5/15/2012
2380,12/19/2019
862,6/27/2012
435,5/31/2011
314,11/26/2018
404,11/5/2012
3019,5/22/2018
2812,3/11/2013
3032,2/12/2015
931,11/26/2012
514,10/31/2012
745,12/29/2017
860,10/31/2012
523,5/31/2018
2866,11/21/2016
473,5/30/2012
895,12/16/2015
2870,3/15/2019
570,9/27/2019
2360,12/28/2015
2395,12/6/2019
2379,7/15/2013
407,9/13/2013
518,12/17/2015
2378,12/18/2019
2812,12/20/2010
493,11/15/2011
409,12/14/2015
499,11/5/2012
454,1/3/2014
3047,4/19/2021
2864,6/27/2016
419,12/31/2020
569,6/29/2021
1445,11/24/2020
569,3/28/2022
5,10/27/2020
1334,6/13/2022
304,1/30/2020
2775,10/27/2020
415,12/31/2020
3045,12/6/2021
392,6/30/2020
304,10/4/2021
304,3/28/2022
523,4/24/2020
422,10/4/2021
304,6/30/2020
2812,3/7/2014
493,6/13/2022
602,6/1/2022
477,12/31/2020
811,10/27/2020
500,10/4/2021
910,11/2/2021
854,12/31/2020
570,8/9/2021
570,6/29/2021
644,12/31/2020
570,3/16/2022
491,9/27/2021
304,5/23/2022
570,1/24/2022
30,11/24/2020
570,5/23/2022
1334,8/9/2021
478,7/27/2021
304,4/13/2021
318,8/17/2021
817,1/30/2020
570,4/12/2022
7,12/31/2020
3006,4/24/2020
304,7/31/2020
570,2/26/2021
1445,1/10/2022
2295,10/4/2021
1034,3/11/2021
569,12/27/2021
569,7/21/2021
570,6/21/2022
580,1/21/2020
3040,2/15/2022
474,4/9/2021
1076,2/26/2021
304,10/27/2020
48,4/4/2022
570,11/22/2021
2984,12/31/2020
314,12/31/2020
315,2/15/2022
2114,9/27/2021
441,4/13/2016
2719,11/8/2021
570,6/7/2022
1180,11/8/2021
668,12/31/2021
1334,4/24/2020
2396,9/13/2021
3,10/27/2020
570,12/30/2020
3016,6/1/2022
3036,4/9/2021
514,5/13/2021
569,12/27/2021
945,11/8/2021
2851,4/4/2022
429,9/27/2021
2848,1/24/2022
2810,12/18/2020
569,7/31/2020
815,1/21/2021
267,1/30/2020
570,7/27/2021
570,1/30/2020
304,1/24/2022
857,12/31/2020
569,2/26/2021
569,1/30/2020
523,9/27/2021
569,11/8/2021
570,3/28/2022
3041,11/8/2021
3046,1/29/2021
224,12/20/2021
584,10/12/2021
2781,4/9/2021
314,10/12/2021
936,12/20/2021
26,4/9/2021
477,12/6/2021
477,4/25/2022
1034,11/29/2021
2380,10/27/2020
3019,6/9/2021
569,9/21/2021
569,6/9/2021
2998,11/24/2020
715,12/20/2021
490,6/13/2022
569,11/22/2021
39,2/11/2021
2836,7/21/2021
300,1/29/2021
3019,4/23/2021
304,6/21/2022
523,12/18/2020
569,11/22/2021
2812,4/25/2022
2982,11/24/2020
